発言者,発言内容,年月日,会議の名称
委員長と新再生推進課長,,2025/11/12,築地等都市基盤
水再生推進課長,"。
はい。
築地の開発内の交通結節点についてでございます。
8月に出されました基本計画の中でもですね、高速交通結節点について触れられているといった状況でございます。
その中ではですね陸海空といったことで具体的には陸上といったところでは、バスであったりタクシーであったり、一般車であったりと、また地下の部分ではですね地下鉄新線が新たに駅が作られていく。
さらには海側を見てみますと、やはり隅田川を活用した収入こういった場所が出来上がる。
また空を見てみますとヘリポートであったりそのとき、車とこれは実際今後ですね、どういった技術革新の中でですね、進んでいくものというふうに考えておりますこういったものがですね、この場所で集結様々な交通を活用してこの場所に訪れることができるといった環境が整えられていくのかなというふうに考えております。
やはり交通考えますと、一つ一つの交通がバラバラに設置されるのではなくて、やはり1ヶ所にですね、ある程度まとまって様々なものに利便性を高めながらですね、利活用できるといった環境といったものが重要であるというふうに考えております。
そういう中ではですね今お話させていただいた交通がですね、この場所でしっかりと結集しですね、多くの方々が訪れることができるわかりやすい場所。
そういったサイン等も活用しながらですね、そういう場所になっていくこういったことが必要であるというふうに考えております。
事業者の方もですね現在この場所についてですね、具体的にどのように進めていくのか、計画していくのか、そういったところをですね、考えながらですね、設計の方を進めていると聞いております具体的なところを進みながらですね、またまち作り協議会などの場を通しながらですね、皆さんにお伝えしていきたいというふうに考えております。
以上でございます",2025/11/12,築地等都市基盤
ちょっと整備部長,"、都市整備部長若干補足をさせていただきますと人の流れというところで、今先生課長の方からは、乗り物からの人の流れの方のご説明さしていただきましたけれども、人流という意味では、ここではドーム5万人のスタジアムができるということでございますのでこの人をどう流すのか、これがあの一番の課題だというふうに認識をしてございます。
一時の第1期の工事が32年に竣工するときに、先ほど多くの方からお示ししているデッキができていないと人が滞留してしまうのではないか。
これは区としても非常に切実な課題だという。
認識してございますので、そういう意味ではこのデッキが32年には必ず必要だという認識のもと取り組んでいるところでございます。
また大津その後になりますけれども地下鉄の駅舎が駅ができたときの人流の流れそれから築地の場外からの人の流れ、また場外から場外への人の流れ、こういったものも非常に重要な視点だと思ってございますので、そのステージごとの人の流れというものを捉えながら、時々の人が滞留しないように、そういったところを視点を持ちながら事業者あるいは東京都とも調整をししながら進めていく必要があると思ってございます",2025/11/12,築地等都市基盤
委員長田中委員,"はい。
大変ご丁寧にご答弁いただきましてありがとうございます。
おっしゃる通りで、やっぱりいいドームができるスタジアムができるというのが一番大きな課題だと思っております。
決算のやあの議論の中でもおっしゃっておられたのは、始まる時間帯が仮に6時と設定して、その6時にはビザぱっと集まるでしょうけれども終了した後っていうのは、同じような人の動きはなかなかしないだろうという。
お話がありました。
それが、あの場外であったり、また近隣の銀座等に地域の活性化に繋がるということも大事ですし、また治安等を問題ないようなスムーズな流れも大切かと思っております。
その今までもずっとそういった議論してきたんですが改めて思ったのがですね、やっぱりこの城内の跡地の交通結節機能が本当にしっかりしてることが、その中がまずしっかりしてることが大事なんだなと思った次第であります。
実は先日、行政視察の会議広島市に訪れてまいりました。
広島市では路面電車が駅の再開発でビルド再開発したビルの中に入っていくような、そういった新しい取り組みを押されているということでぜひ見たいなと思って行ってきた次第でございます。
そのとき思ったのが、新幹線の方から降りて歩いてたときにですね、本当に広いオープンスペースのもその先に路面電車がもうあるような状態の作りとなってまして、でもすぐ上には右に行けばJRもJRの改札も本当広くて、もうすごい利用し安そうな空間なってました。
とにかくそのオープンスペースなんですね。
路面電車に乗る前のオープンスペースもそうですし、JR乗る前のオープンスペースもあります。
人が混雑するだろうその辺りも本当に広く場所をとっておりました。
この築地飯野跡地は確かにいい全体環状2号線入れて23ヘクタール大きくは見えますけれども、いろいろ杭を打ったりいろいろしていくとなかなか制約が出てくるのかなと思うんですがそれでもですね、今ある大江戸線で今後の地下鉄新線、またあのBRTの伝説バスは厳しいかもしれませんけど通常のバスであればですね。
この接続してもしかしたら江戸バスも接続するのかもしれませんし、指定いただくんだと思いますけれどもその他にもタクシーとかって例えばすってのはあり得るのかもしれませんが、まさにその接続がですね、一つのこの不上下移動することなく、可能な限りワンフロアでできるっていうのはですね、これはすごい魅力的なんだなっていうことを本当に肌で実感してきた次第であります。
もちろん環境は全く広島市さんとは異なりますけれども、しかしながらこれだけ注目されたという値の私開発でありますし、やはり日本代表する開発の一つになっていると考えますので、ぜひ今までずっと議論してきた。
その大混雑だったり問題が出る前のその状態の中での交通結節機能をここ改めて事業者さんとこれまで以上にしっかり取り組んでいただきたいと思いますけれどもこの点のご見解いかがでしょうか？",2025/11/12,築地等都市基盤
推進室長年河清プロジェクト推進室長,"はい構成交通結節点でございます非常にただいまの答弁申した通り、非常にこれだけの大きな開発というところでは、本当に重要な施設だと考えております。
また積田側のところには主船着場も作りできますので、そういった意味でも隅田川から築地東銀座へと抜けるというところでも非常にあの交通結節点重要な位置づけとなってございますこの人流また交通というところで、あのスムーズにまた地域に影響がないような形で運ぶためにも非常に重要でございますので、これからの計画の中を事業者と打ち合わせの中ではそういう視点を持ってしっかりと進めてまいりたいと考えております。
以上です",2025/11/12,築地等都市基盤
委員長中委員,"はい。
ありがとうございます。
本当にいろんな課題がたくさんありますけれども、力を合わせながら進んでいきたいなと私も改めて決意をしているところでございます。
引き続き、更なる取り組みをお願いいたしまして、質問を終わります。
ありがとうございました。
次の発言を願います。
委員長小栗委員それでは質問をいたします。
まず築地市場跡地開発に関連してですけれども今各地で行われてる開発事業を見ても、どこもし資機材が高騰しているというようなことや、人手不足などもあって、事業計画がね、いろいろ見直しも必要になってきてると開発計画そのものが立ち行かなくなってきているというところも見られるような中で、この築地の計画についてですけれども、わんパークはタウンということで事業者の方方で出しているこの今のところの計画でいきますと事業費は9000億円というふうに言われておりますけれども、この事業費の中で、これはこの築地再開発の会社が請け負うこの地の中での事業費ということで、例えば高速道路とか、月積む都市の中での缶館長環状道路からのつつけた後のところ、道路中を走る道路そういうものの事業費などは、この9000億円の中には入っているけれども、高速とか地下鉄とかデッキとか、あの中央区が要望しているデッキとか。
そういうものは全然入ってないと、そういう理解でいいのかということを確認したいということと、この9000億円の中には、地下鉄とかは地下鉄が+高速道路は高速道路が出すということで、例えば国都の補助金とか、中国が財政の支援をするとか、そういうことは全然考えていないということでいいのかまず確認をさせていただきたいと思います",2025/11/12,築地等都市基盤
都心再生推進課長,"はい築地市場跡地開発の総事業費といったところでございます。
今現在基本計画出されてまして、そう事業費として約9000億だというところで事業者の方から示されている状況でございます。
そういう中においてですねどういったところが含まれるかといったところでございますが、再開発、今回の築地市場跡地開発これに関する費用が含まれているということで、今お話あった通りあの中のですね地区内の通路であったりとか、建物であったり、また今回人類をしっかり歩行者を流していくということで歩行者の動線となります昭和書通りをまたぐようなこういったようなデッキ、こういったところは事業費の中に含まれているというふうに考えておりますそういう中でお話ありました通り晴海線であったり、地下鉄新線といったところまだこちらについてはですね、事業者も決定していないといった状況でこちらの費用についてはですね、次事業者となるところが、しっかり負担していくところになってくるのかなと。
また地下鉄についてはですね、整備する手法によってですね、その費用の価格との負担というのが変わってきておりまして例えば国であったり事業者なども負担の対象になってきますのでそういった中でですね今後どういった手法で整備されていくのか。
そういう中で費用の負担割合というのが決まっていくものと考えております。
以上でございます。
委員長小栗委員使用橋通りをまたぐデッキはもう中で含まれていると、事業者がたってもう決まってるんですか、9000億円入ってるっていう。
今ご説明だったように、思えたんですけど、それの確認をさせていただきたいと思います。
そしてまだ計画がまだこれから具体化する段階なので、本当にこの9000億円で収まるとは到底思えませんけどどうなるかってことありますけれども、絶対ほっとくれ上がると思うんですよね。
今の計画だって膨れ上がるし、これでいろんな要素がもっと付け加えていけば、繰り上がるということになると思いますが例えば今、実際行われている。
土壌汚染対策、そして埋蔵物の調査それについても東京都がやるってことになってますんで、委員長　200億円予算を市長会計からこちらこの人だったっていうことなんですけども、今その土壌汚染と埋蔵物調査の金額、予算が1450億円になってると7倍になってるということが計画の中で示されています。
本当に莫大な費用がかかっていくということになると思うんですけれども、この辺の、何て言うんすかね、費用の面での懸念といいますかねそういうものについては、どのようにいい考えているのか。
お示しいただきたいというふうに思います。
吉田部長作るところが9000億円ですよというお話でございました。
実態的にそこ高速道路や何かっていうのはもちろん高速道路や地下鉄というのもね、ついては、事業体が出すということでございまして、この開発事業の90億に含まれるわけではありません。
それから、あのそういう意味で言うと意見は一致しますけど、金額は相当膨れるだろうしかつ、これは我々がはっきり申し上げますが、今、Cを足の上に別居をかけると言っている。
かけなきゃいかんと私どもは言ってそうじゃないと交通処理ができないというと、その部分については9000億円入ってないと思いますから事業者がちゃんと作れよっていう話でございます。
我々としてはそう考えてですから、そういうものを付随したもの、これから改善をしていくものというものを加えていきますと、相当なところ、金額は増えていくだろうなというふうに思っております。
委員長小栗委員財政的にも大変規模が大きくなって大変だということもありますしそういう財政の面から見ても、私は今のこの計画自体をもっとコンパクトにっていうか、費用負担がそんなに重ならないような、何か超高層オフィスはやめるとか、そういうことも含めて考えていくことがやはり必要ではないかというふうに考えております。
先ほど質疑の中で、皆さんからの提案で過不足があれば、ぜひご提案お話あったんですけども、新しいたちはいえ、あの前から言ってますけれども、この計画全体をもっとコンパクトなものにそして緑や公園を中心としたものにもっと大胆に見直しをして、前から言ってますけど楊公園のせっかくの史跡を生かすそういうものを復元することも含めて、そういう計画に大胆に変更見直しをすることがいっぱい必要ではないかということを改めて提案。
あの要望があればっていうことだったんで、お伝えいたしますけれども、そういうことを含めてちょっと考えていかなくてはいけない。
もう勝ちとしたこの超高層ビルを中心とした5万人もの規模の人をどうやってサッカーっていうのが本当に大変な事態になりそうな中で、お金もどんどん上がりそうな、そういう計画になっている。
そのこの事態をやっぱりちゃんと地に足をつけたものに見直していくことが必要ではないかということを強く申し述べたいというふうに思います。
次に日本橋室町1丁目地区の件で質問をしたいと思います。
これはもう既に区道廃止の手続きが議会でも議決されて、今、解体工事も着手されようとしているような状況にありますけれども、この問題について2月のこの築地のこの委員会で、私があの区道の廃止について、周辺の住民に対して、これまで説明会が開かれていたのかという点を質問した際に、まち作り基本条例というそういう条例の中で、計画の概要が固まってきた中で、地域の方や代表者の方に対して、計画の説明会を行っていると後年、再生特別地区の中でトップの説明会ということでもやっているとその主を都市計画の手続きの中で、縦覧などを行いながら説明会をやってるということで、説明会はやってるんだというご答弁でした。
ですが、実際に地域の住民の方や、市周辺の方も含めて、そういうきちんとした区道廃止の説明会行われてないんじゃないかというようなあの声もずっとあって、審査請求もされてる方もいらっしゃるんですけれども、その中で、区道廃止について説明会はやっていなかったということを多くも認めたというふうに聞いてます。
これについても私も質問したときに説明会やってるっていうお話だったんですけども区道廃止についての説明会はやってないということに大町区も認めたということなので、この点はどうなっているのか。
まず説明をいただきたいというふうに思います",2025/11/12,築地等都市基盤
院長街作り事業担当課長,,2025/11/12,築地等都市基盤
街作り事業担当課長,"。
はい室町1丁目の再開発のあの区道廃止に関するご説明というところでございます。
審査請求のことに関しましてはこの場でお答えを差し控えたいと思いますけれども委員が今お話された区道廃止の説明会いわゆるこの名前の通りの説明会というものは確かに区としてはやっておりませんけれども、先ほど委員もご説明いただいたようにですね、区としましては、これまで工藤方で手続きをしているまち作り基本条例の例えば区と区民の協議、また都市計画手続きの中でのご説明こうした中ではきちんと計画概要さらには都市計画の図書これも再開発事業の方の図書の中でも道路の部分に関する記載がありまして、そうした当初のご説明をする中でも、いわゆるこの斎川座街区再編を伴っての再開発であって、こういうふうに道路の改変がされるんですよみたいな、そういったものをですねきちんとご説明をしているというところで私どもはこれまで区道廃止に関しましては、これはどの地区も共通指定でございますけれどもきちんと区としては説明をしてきたというところでございます。
また併せまして民間の事業者は区民事業者の方もですね、当然トップ提案の例えば説明会さらには都市計画決定以降の組合設立以降ですね、その中では十分権利者の方関係者の方にも都度ですねご説明をしているというふうに伺っておりまして区の方も丁寧に説明するよう指導しているところでございますのでなおこちらにつきましてはきちんと説明してきたという状況でございます以上です。
委員長小栗委員説明会の資料も見ますと、貫通道路になりますみたいなねそういう表記があったりしてこれ道路が付変わるのかなっていうそういう説明にはなってますけれども、工藤派は廃止されるんですっていうそういうはっきりした説明ふうに私もこれではわからないだろうなというふうに思ったんですけれども、区道そのものの廃止についての説明会っていうのは、区はやらないということになっているんでしょうかその度に都市計画のかかった地域の説明会としてはこういうふうになりますっていうのはわかりますけれども、それに伴って、この、この大切な区の道路は廃止されるんですよっていうそういう説明を区がきちんと行うということは、分けてちゃんとやってるのかという点をもう一度確認させていただきたいと思います",2025/11/12,築地等都市基盤
委員長町作り事業担当課長,、,2025/11/12,築地等都市基盤
まち作り事業担当課長,"。
はい。
宮藤廃止に関するよる単独のご説明というご趣旨だと理解しておりますけれども、黒羽医師の説明会をしなければならないといったような規定というのはそもそもございません。
あの区といたしましてはむしろ区道廃止そのものだけのご説明では、やはりなかなか理解しづらい部分だと思ってございます。
私ども区としてですね全てにおいて同配信認めていきますということでスタートしてるわけではなくて、きちんとやはり再開発の必要性またそこで実現するべきものそういったものを置きしやっていくために街区再編76度を廃止をしながら街区再編してこういう再開発をしていきますこういう施設機能を新しくきちっと作って街を更新していきますということを一緒にご説明をしないと、やはりこれはなかなか理解がしづらい部分だろうというふうに認識してございますので今のご質問の部分でいきますと工藤羽石嶽の部分での説明会っていうのはする予定はございません。
以上です。
委員長藤委員それだけ単独でやっても逆にわかりつらいつらいっていうこともあるかもしれませんけれども、ちゃんとくんの責任でその再開発のあの事業、事業者が説明するだけではなくて区が関わるその区の管理する道路を廃止することになるんですっていうことをきちんと説明をし、理解も得られるように皆さんのちゃんと説明会の場もきちっと持つということが私は必要だというふうに思いますし、他の区ではちゃんとやっているというふうに聞いているのでぜひその辺はあの改善をしていただきたいというふうに思います。
この保険に関連して区道の廃止の執行を停止して欲しいっていうそういう要求に対しては、既に通行の通行の用に供しているから、執行停止はしないと、そういう回答だったということです。
つまり駆動を廃止して通れなくなるようなことをやめて欲しいっていう。
要望に対して、まだちゃんと通行の多い通行できるようになってるから、その御要望は認められませんよと、そういうことだというふうに思うんですけれどもそういう理解でいいのか。
通行の用に供しているなら廃道にする条件一般に供する必要がなくなったというそういう条件に逆に当てはまらないということになるのではないかと思いますけれども、この辺についての見解をお伺いしたいと思います",2025/11/12,築地等都市基盤
議長環境部参事官共同副参事,"。
はい。
道路の移動の手続き等についてですけども、道路管理者として道路を管理する必要性がなくなってるっていうところで言うと、一般のように、競争力その後ですね、今回の場合で言いますと、異動後事業者の方の元管理がそのままなされ、いずれ事業の中でですね通行止めとして一時期通行止めになるということもあるとは思いますけども、肺臓した後ですね、約2ヶ月間は区の方の管理のもと占用物件の整理だとか、そういうものを行った上で、2ヶ月後、そういった間でですね、あの事業者に引き継いでいくということで、そのまま今現在は利用者の方の管理のもと、存在してるというところでございます。
以上でございます。
委員長森委員今はまだ通れますけれども、12月1日から封鎖されますというそういうお知らせが出て通れなくなるということになっているようです。
この問題でお伺いしたときに、工事中も人が通れるくらいの通路はできますよって私聞いたような気がするんですけども、もう全部この町工場のあの部分を閉鎖してしまって、使うと業者の方が使うということに成っていて、とても不便だし、そんな話聞いてないという不安の声もね、広がってます。
なのでこの点でも問題があるのではないかというふうに思いますけれども工事中もう人があそこはあの広い広いというか。
室町工事っていうね重要なこの名前もついてるような道路なので、きちんと工事中も票が取れるようにしてしかるべきではないかというふうに思いますけれども、今の計画で言えば、な、何年間で何年間と、あの通行ができないのかということも併せてご答弁いただきたいというふうに思います。
院長街作り事業担当課長街作り事業担当課長はい。
12月から封鎖されるというところのお話ですけれどもちょっと最新のですねこちらの組合の方でどのように今その工事考えてその封鎖してっていうのはその考え状況につきましては確認をさしていただきたいと思っております。
しかし区といたしましてはどの地区も共通して、やはりあの工事っていうのは周辺の方々にやはり影響が及ぼすものでございますのでそこはまず安全性も含めてですけれども、丁寧に例えば海がどうなってですとか、どういう時間帯でどういう車両がどういう影響があるかっていうところについては、丁寧に皆さんにご説明するように指導してきているところでございまして、こちらの月につきましても状況をちょっと確認させていただきながら、こちらの部分については指導を押していきたいというふうに思ってございます。
以上です。
委員長小栗委員マクドの廃止を含む、そういう再開発の計画中国では各所で行われていますけれども、御説明会きちんとした説明会はもとより、区民の意見や周辺の人たちへの多い意見の聴取などもきちんと行う民主的な方法でそういう計画、まち作りを段取りをちゃんと踏んでやっていただくというのが当然だと思いますので、その辺できちんとした方法でやっていっていただけるように強く要望したいというふうに思います。
そういうそこの道路が使えないということも含めて、そういう、どういう工事になるかという説明会はやられているという。
ことでいいのか。
としてどのように認識されているのか、その点だけ再度お答えいただければと思います",2025/11/12,築地等都市基盤
院長街作り事業担当課長,,2025/11/12,築地等都市基盤
街作り事業担当課長,"。
はい。
先ほどもご答弁させていただきましたけれども最新のですねの状況につきましては、後ほど確認利用させていただきたいと思いますけれども、しかるべきタイミングできちんと組合の方には関係者の方々に丁寧にご説明するようこれまでも指導してきているところでございますので、引き続きそのように対応していきたいと思ってございます以上でございます。
小栗委員今までもどの再開発の同区道廃止でもその問題に限っての説明会は中国ではやってこなかったということでいいのかその点だけもう一度確認をさせていただいて他の区ではきちんとやっているということを聞いてますので、ぜひその辺は改善いただきたいと思うんですけれども、今までも全然その区道廃止を伴う計画について、区、それに特化した。
ていう角度の廃止をきちんと説明するための説明会は開かれていなかったのかという点についてお願いしたいと思います。
院長街作り事業担当課長吉藤事業担当課長はい。
工藤羽石のご説明というところでございますけれども、繰り返しで恐縮でございますが、やはり自治体によってですね先ほど王委員がおっしゃった区道の廃止の名前の通りのその単独の説明会を開くのか。
私ども中央区としては先ほどご答弁しましたように、やはりわかりづらさもありますしそこは丁寧にという観点でですね、再開発そういう計画も含めて、総合的にご説明をさしていただくそれは自治体の判断だと思ってございます。
中央区といたしましては、これまでの再開発もそうですけれども、ぜひ区道を単独での区道廃止に関する単独のご説明というよりかは、これまで通りですねしかるべきその手続きの中できちんとその丁寧に計画概要を含めて総合的にお伝えをしていくそれであの理解を求めていく、このような形で進めていくものでございます以上です。
委員長小栗委員丁寧にやってきたというお話ですけれども、やはりあちこちの開発の中でも、なかなかどういう開発が行われるのかっていうのがもう、計画が決まってからでないときちんとそうした説明会も開かれないというようなことで、いろいろ地域の中での問題ななども引き起こすような事態も各地で起きていますし、きちんとした説明とかもちろんなんですけども、そういうまち作りの進め方についても、きちんと丁寧にやっていていただくように求めて質問は終わりたいと思います。
ありがとうございます。
次の次お願いします",2025/11/12,築地等都市基盤
葛原委員,"はい。
参政党の黒原ですよろしくお願いいたします私からは2点都心臨海地下鉄申請線についてとあと駐輪場について伺いたいと思いますまず新鮮でございますが先日の大会が開かれまして改めて一致結束して、皆で盛り上げていこうということで良いか良い大会だったのかなと思っております。
また一層より関係者が集まるようになればいいのかなと思いますが会の中でも毎回あるんだと認識しておりますけれども、あの早期実現を目指そうということでですね、2030年を目指してやれば、実行としては目標の2040年というところに達するのではないかというご発言もありましたですね先ほど全員からも築地再開発の方でお話がありましたけれどもやはり現実的には資材高騰であったりとかですね人材人手不足というようなところも含めて区自体もですね再開発計画見直しが要るんじゃないかというようなご発言もある中でですね、この非常に大きな話がですねどれほど実際に目標に向かってやっていけるのかというところの現在の所感をですねぜひお聞かせいただければなと思っております。
国家プロジェクトということに相当すればですねもちろんその方向になるかと思いますがあの資金面については逆に、むしろは国がかなり支援そういう方向になればですね、支援していただけるのかなという淡い期待はありますけれども、やはり実際の工事ですね。
このこれだけの大規模なものをですね、私としてはやはりその晴美のことを考えます本当に早期にやらなければいけない案件なんだろうなということは大変大きな期待をしておりますけれども、現状の区としてのですね、直近のこの環境変化におけるですねしか申請の今後の行く末といいますかちょっと言い方悪いですけれどもぜひお考えを聞きたいと思いますお願いいたします。
委員長",2025/11/12,築地等都市基盤
交通課長,,2025/11/12,築地等都市基盤
交通課長,"はい。
地下鉄審査についてでございます。
地下鉄審査につきましては、やはりですね晴海であったりかちどきそういった臨海部方面の人口が増加する中で、今、例えば晴海通りを通っているとバス、そういったものが大変混雑しているとそういった状況をやはり改善するには、根本的にはやはり地下鉄申請のような大量輸送機関、これが早期に開通させる、それが急務であるというふうに認識してございますそういった中で、先日のその推進大会の中でも、やはり2030年代を目指していくそういった強い言葉は区長の方からもあったというところでございます。
そういう中でですね、やはり委員の方から今お話あった通り、地下鉄申請については元々令和6年に出している東京都の失礼しました。
東京都の事業計画案、この中でも、5000億以上の資金がかかるというような事業計画案こちらも出されてございます。
それをですね、やはりその金額をですね、今後東京都の方でしっかり精査をされるというふうに思っておりますけども、やはり近年の資材高騰の中で、その金額というのも上がってくるものかというふうに認識しておりますそういった中で、どういうふうにその地下鉄新線の事業スキームをしっかりと組み立てていくのか。
そのあたりは、現在東京都の方でも検討しているというふうに聞いてございますので、そういったところをしっかり注視しながら、着実にですね地下鉄申請ができるように、引き続き東京都の方に働きかけていきたいというふうに考えてございます。
以上でございます",2025/11/12,築地等都市基盤
倉原委員,"はいご答弁ありがとうございました。
あのとの方のですね働きかけも、より一層していただくということで、ぱもちろん、染前明言できる話ではないと重々承知してはおりますので、なかなか難しいとは思いますがやはり現実的にどこまでやれるんだというところがですね、今後の晴美のありようにも大きく関わってくるのかなという思いはございますので改めてですね、多くの方を巻き込みつつですね特に国については早々に動いていただくという流れをもちろん、常日頃されているという認識ではございますけれども、改めてお願いをしたいと思っておりますよろしくお願い申し上げます。
ちょっと蛇足的な話ですけれども、私から見ますあくまで私から見ますとですね今ご答弁にもありましたようにですねやっぱり春木の地域って私は結構交通的には本当に不足しているというかいわゆる区民の方が生活圏内としてですね、出勤についてはBRTが使えるという要素があっていいのかなと思ってるんですけれども。
日々の生き甲斐であったり街そのものがですね単独でまだまだ成立する生活用品ですとかそういったところの調達も含めてですね、晴海よりはやはりちょっと外に出ていくというところがですね必要なのかなと感じております。
そうしたところはですね電車ができるできないっていうところがですね本当に大きな影響になるというふうに多くの方がさらに望んでおられるようになるという環境作りにすると、もちろん皆様、ご認識の通りだと思いますけれどもぜひそうした環境がですね早期実現するように改めてお願い申し上げたいと思います。
失礼いたしましたそれからですね駐輪場についてでございます。
こちらの報告事項にはありませんでしたけれどもさっきの11月7日の環境建設委員会で八重洲の方でですね、整備課されるということをご報告いただいて、久世でこちらにつきましては、区立ということでですね建てるということで、この自転車の利用というものが私もよく使って、日々使っておりますのでやはり区の活性化の一つにするのかなと思いますけれども今後予定しているこの駐輪場の整備ですね、かなりもうちょっと所管から外れるかもしれませんが自転車活用推進計画等を見ますとかなりポイントポイントには既に整備されているのかなと思いますけれども今後のですね、動きといいますか、予定されている場所ですとか、そういったところがあればですね改めてお知らせいただきたいと思いますお願いいたします。
委員長",2025/11/12,築地等都市基盤
交通課長交通課長,"はい。
駐輪場についてでございます。
先般行われました環境建設委員会の中でもご報告させていただいただいているんですけども八重洲1丁目の方でですね、開発事業と合わせて、八重洲1丁目地下駐輪場というものを整備してございます。
こちらについては令和8年の4月の供用開始を目指して、今調整をしているところでございます。
一方でですね今後他のところで駐輪場の整備というところなんですけども周辺のですね再開発事業に合わせて、そういう開発事業事業の中で、公共的駐輪場ということで、あくまで民設民営の駐輪場ではあるんですけども、区の働きかけのもと、各駐輪場を作っていただいているというようなところがございます。
例えばですね、ずっ先ほどの八重洲の周辺ですと安い。
八重洲2丁目中地区という開発事業が行われているんですけども、この中でも公共的駐輪場というものを、今、250台ほどですね、確保すべく、協議調整の方しているところでございます。
以上でございます",2025/11/12,築地等都市基盤
倉原委員,"はい、ご答弁ありがとうございました。
民設民営の方もですね進めていくというか要請していくということで私日々自転車使っていますとですね一時利用の駐輪場っていうのがもっとあるといいなというのが率直なところでして特にですね来年度4月からまた自転車の違反といいますか、法令の方もですね罰則も厳しくなるという環境もある中でですね、彼、正面から見ますと、自転車持っていくのは本当にできるのかなと心配になるぐらいですね。
簡単に切られ安そうだなという印象があります。
駐輪場自体はですねそれそのものというよりかはあくまで違法駐輪ということで撤去される可能性があるということであるんですけれども、中央区の中でこの自転車活用というものを進めていく中でですね、やっぱり単純に止めれる場所が明確にあるというところが特に地上においてですね、整備されているとよりいいのかなと思っております地下は土地ですと単純に入口がなかなか区民の方に伝わってないみたいな話もあるようで、利用率を見ると、そ、そこがやっぱり使われてないという話は過去のご指摘というか質疑の中でもあったように記憶しておりますので、ぜひそうした充実をですね、改めてお願いしたいと思いますし、でき、七條ということは私からも申し述べさせていただきます。
以上で質問を終わります。
副委員長の発言議題とし再生のまちづくりおよび基盤整備等に関すること並びに築地市場跡地における月井地区まちづくり事業に関することについては、継続審査ということでよろしいでしょうか？第4回区議会定例会における委員長報告の取り扱いについては、正副委員長一任ということでよろしいでしょうか？はい。
はい。
これをもちまして、築地等都市基盤対策特別委員会を閉会とさせていただきます。
ありがとうございました。",2025/11/12,築地等都市基盤
委員長防災危機管理室長,,2025/11/14,防災等安全対策
